date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Dealer_Hedging_buy,Dealer_self_buy,Foreign_Investor_buy,Investment_Trust_buy,Dealer_Hedging_sell,Dealer_self_sell,Foreign_Investor_sell,Investment_Trust_sell
2017-05-25,2330,26088748,5388004408,206.0,207.0,205.5,207.0,1.5,7406,755000.0,155841500.0,156064000.0,145.0,1.0,6482595.0,353.0,6832.0,7041.0,11.0,24.0,1.0,6482595.0,48.0,2840.0,2817.0,222000.0,293000.0,24063336.0,0.0,286000.0,19000.0,17199799.0,96000.0
2017-05-26,2330,32976727,6794923568,205.0,207.0,205.0,207.0,0.0,8059,3967000.0,816985500.0,818477000.0,79.0,0.0,6482595.0,133.0,6778.0,6832.0,0.0,17.0,0.0,6482595.0,21.0,2844.0,2840.0,405000.0,326000.0,29679801.0,42000.0,110000.0,410000.0,28109376.0,214000.0
2017-05-31,2330,67935145,13853122715,206.5,207.0,203.0,203.0,-4.0,11757,917000.0,187712000.0,187078500.0,1070.0,1.0,6482595.0,81.0,7766.0,6778.0,1.0,182.0,0.0,6482595.0,3.0,2665.0,2844.0,1561000.0,1266000.0,54945390.0,0.0,68000.0,100000.0,64515367.0,108000.0
2017-06-01,2330,29623649,6096361694,205.0,207.0,204.5,207.0,4.0,6374,685000.0,140943500.0,141266500.0,74.0,2.0,6482595.0,512.0,7326.0,7766.0,1.0,8.0,0.0,6482595.0,115.0,2772.0,2665.0,69000.0,25000.0,26851574.0,0.0,106000.0,1361000.0,20021340.0,218000.0
2017-06-02,2330,23265323,4845442265,208.5,209.0,207.5,209.0,2.0,7429,479000.0,99598000.0,99880500.0,36.0,0.0,6482595.0,287.0,7075.0,7326.0,1.0,25.0,0.0,6482595.0,113.0,2860.0,2772.0,106000.0,24000.0,21356600.0,68000.0,131000.0,453000.0,12291718.0,131000.0
2017-06-03,2330,1535230,320348914,209.0,209.0,208.0,209.0,0.0,1078,,,,77.0,4.0,6482595.0,22.0,7126.0,7075.0,0.0,11.0,0.0,6482595.0,11.0,2860.0,2860.0,232210.0,163000.0,57000.0,70000.0,98000.0,7000.0,4000.0,315000.0
2017-06-05,2330,22545164,4746962354,209.5,212.0,209.0,212.0,3.0,8931,577000.0,121428500.0,121596000.0,131.0,2.0,6482595.0,320.0,6935.0,7126.0,1.0,68.0,0.0,6482595.0,84.0,2876.0,2860.0,375990.0,320000.0,19279050.0,0.0,597000.0,839000.0,9741202.0,728000.0
2017-06-06,2330,15382025,3243804586,210.5,211.5,210.5,210.5,-1.5,5541,380000.0,80027500.0,80293000.0,129.0,0.0,6482595.0,59.0,7005.0,6935.0,0.0,62.0,10.0,6482595.0,6.0,2810.0,2876.0,117000.0,517000.0,11597360.0,0.0,328192.0,256000.0,9700168.0,628000.0
2017-06-07,2330,34729326,7342424736,212.0,212.5,210.0,211.5,1.0,8034,558000.0,117927500.0,118020500.0,540.0,1.0,6482595.0,157.0,7387.0,7005.0,3.0,132.0,0.0,6482595.0,56.0,2734.0,2810.0,680000.0,708000.0,28279000.0,439000.0,420000.0,712000.0,23202200.0,249000.0
2017-06-08,2330,21654488,4599496993,212.0,213.0,211.5,213.0,1.5,7926,193000.0,40964500.0,41013000.0,184.0,0.0,6482595.0,264.0,7307.0,7387.0,2.0,143.0,0.0,6482595.0,42.0,2633.0,2734.0,69000.0,361000.0,18587531.0,246000.0,581000.0,731000.0,9656706.0,357000.0
